round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,1.9750303737819195,0.71875,0.059631332784618706,0.9782282,relu,12,0.0,10,24,12,40,sigmoid,sparse_categorical_crossentropy,adam
10,1.174127941019833,0.78125,0.07016421271195263,0.978979,relu,12,0.0,10,24,12,40,sigmoid,sparse_categorical_crossentropy,RMSprop
10,2.320521008223295,0.734375,0.06398294938320236,0.9714715,relu,12,0.0,10,24,12,50,sigmoid,binary_crossentropy,adam
10,1.4516886174678802,0.6875,0.07273192942434312,0.978979,relu,12,0.0,10,24,12,50,sigmoid,binary_crossentropy,RMSprop
10,1.5066223964095116,0.703125,0.05835314624353175,0.9774775,relu,12,0.0,10,24,12,50,sigmoid,sparse_categorical_crossentropy,adam
10,1.698536705225706,0.6875,0.05896670709346545,0.9804805,relu,12,0.0,10,24,12,50,sigmoid,sparse_categorical_crossentropy,RMSprop
10,2.2725401129573584,0.703125,0.05481751646348621,0.9797297,relu,12,0.0,10,24,16,10,sigmoid,binary_crossentropy,adam
10,0.9175573512911797,0.796875,0.08188020215501646,0.972973,relu,12,0.0,10,24,16,10,sigmoid,binary_crossentropy,RMSprop
10,1.2085362989455462,0.796875,0.06345628327979792,0.9774775,relu,12,0.0,10,24,16,10,sigmoid,sparse_categorical_crossentropy,adam
10,2.246379941701889,0.796875,0.08021290800460773,0.9692192,relu,12,0.0,10,24,16,10,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.0695851780474186,0.703125,0.07011670510241078,0.9707207,relu,12,0.0,10,24,16,20,sigmoid,binary_crossentropy,adam
10,1.360527983866632,0.765625,0.07447991777945054,0.9714715,relu,12,0.0,10,24,16,20,sigmoid,binary_crossentropy,RMSprop
10,1.9957468919456005,0.796875,0.06332473554988331,0.9752252,relu,12,0.0,10,24,16,20,sigmoid,sparse_categorical_crossentropy,adam
10,2.1734519749879837,0.703125,0.07206873655410197,0.9714715,relu,12,0.0,10,24,16,20,sigmoid,sparse_categorical_crossentropy,RMSprop
10,2.337481327354908,0.796875,0.06302678393176966,0.9767267,relu,12,0.0,10,24,16,30,sigmoid,binary_crossentropy,adam
10,1.3338946141302586,0.78125,0.07865215944739576,0.9767267,relu,12,0.0,10,24,16,30,sigmoid,binary_crossentropy,RMSprop
