round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,0.06285940343061505,0.96330273,3.5688470602035522,0.625,relu,32,0.0,10,50,35,147,sigmoid,sparse_categorical_crossentropy,adam
24,0.027249713319315978,0.9880734,1.9325677156448364,0.703125,relu,32,0.25,24,65,5,357,sigmoid,sparse_categorical_crossentropy,adam
24,0.0753854062869598,0.9770642,1.976539671421051,0.375,elu,32,0.0,24,65,15,217,sigmoid,binary_crossentropy,RMSprop
1,0.9448547058085872,0.94678897,0.8212772812694311,0.265625,relu,10,0.0,1,35,15,357,sigmoid,binary_crossentropy,RMSprop
5,0.09340309131886163,0.9651376,1.089814879000187,0.640625,relu,10,0.25,5,35,5,147,sigmoid,binary_crossentropy,adam
10,1.7766156925461931,0.9495413,1.3448652438819408,0.265625,relu,10,0.25,10,50,35,427,sigmoid,binary_crossentropy,adam
5,0.056272205882507496,0.9825688,0.7156063951551914,0.78125,relu,10,0.0,5,20,5,147,sigmoid,binary_crossentropy,RMSprop
1,0.5355746746615938,0.94678897,0.7071506436914206,0.265625,relu,10,0.5,1,50,15,147,sigmoid,binary_crossentropy,RMSprop
5,0.34991987103408356,0.9229358,1.5960603952407837,0.265625,elu,10,0.5,5,35,35,287,sigmoid,binary_crossentropy,adam
1,0.29836553505305713,0.88990825,1.7399042248725891,0.328125,elu,32,0.5,1,20,5,357,sigmoid,binary_crossentropy,adam
24,0.19623435572336573,0.9522936,2.036421976983547,0.265625,elu,10,0.5,24,20,5,7,sigmoid,binary_crossentropy,adam
10,0.8132984441354664,0.9495413,11.836726278066635,0.265625,elu,10,0.0,10,50,35,357,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.33310992313856513,0.87522936,2.576874978840351,0.265625,elu,10,0.5,1,20,5,147,sigmoid,sparse_categorical_crossentropy,adam
10,0.6931471824645996,0.9495413,0.6931471824645996,0.265625,elu,32,0.0,10,20,35,357,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.8132984321051773,0.9495413,11.836726188659668,0.265625,relu,32,0.0,24,35,35,427,sigmoid,sparse_categorical_crossentropy,adam
5,0.1704097926796098,0.94220185,1.0926468744874,0.53125,elu,10,0.5,5,20,5,147,sigmoid,binary_crossentropy,adam
10,0.8132984408544763,0.9495413,11.836726725101471,0.265625,relu,10,0.25,10,20,15,217,sigmoid,sparse_categorical_crossentropy,RMSprop
